1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
1.0,0.0,0.011067458423433603,-0.0942438,-3.85761E-4,0.00296575,10.0556,19.5424,200.0,19.0998,9.9451
